normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,label
93.137914,honda,gas,std,four,sedan,fwd,front,100.89955,180.62039,66.666759,49.940198,2195.986109,ohc,three,217.539757,mpfi,3.342052,3.276728,9.0,95.227545,4822.591922,29.838761,22.259999,14834.794525,5
107.344208,mazda,gas,std,two,sedan,fwd,front,93.579282,168.637794,64.082627,50.713452,2391.62407,ohc,four,153.261054,2bbl,3.574977,3.205228,9.349241,112.764704,5194.820354,15.878674,26.036156,16312.851368,3
105.803043,mazda,gas,std,two,sedan,4wd,front,102.907056,182.139534,66.043258,49.101161,3343.932977,ohc,four,168.69478,2bbl,3.34483,3.583426,8.668761,98.637473,4251.408189,22.568907,32.053269,7846.665214,3
71.428674,mitsubishi,diesel,std,four,hardtop,rwd,front,93.802122,176.305314,66.983898,56.686291,2441.378252,l,three,115.394255,2bbl,3.21511,2.527709,9.338053,100.815266,4799.840126,28.012325,33.16165,12081.322659,3
75.512218,volvo,gas,std,two,sedan,rwd,front,100.250022,166.452025,65.029773,52.944291,1933.547407,ohcv,two,113.852651,mpfi,3.414988,3.264749,11.013914,59.259467,4781.090193,23.094506,30.540901,23835.996202,5
178.131942,peugot,gas,std,four,sedan,rwd,front,101.066872,183.952979,64.266439,56.099231,2339.42217,ohcv,six,178.545133,mpfi,3.579014,3.607759,6.586195,96.322808,5137.299942,20.719624,22.09989,9908.463788,3
105.816584,dodge,diesel,turbo,two,sedan,4wd,front,94.675835,192.224379,64.342034,51.142968,1991.931855,ohcf,four,110.276593,4bbl,3.128575,3.173363,7.633964,208.450182,6204.14629,23.719799,29.43041,9209.338863,6
81.585117,toyota,gas,turbo,four,sedan,fwd,front,95.092924,159.079167,67.016227,51.05837,2545.876998,dohc,five,87.36734,mpfi,2.920531,3.120813,13.712173,140.982005,4813.460639,23.571917,27.758486,7905.469657,4
71.428589,volvo,diesel,std,two,sedan,4wd,front,101.457183,179.043868,67.573909,50.381155,2376.490031,dohcv,two,116.421455,2bbl,3.670979,3.112379,9.294427,116.888544,4818.9482,23.580969,27.809289,6654.946304,3
132.037326,toyota,gas,std,four,hardtop,rwd,front,97.012142,172.513277,66.688212,57.666888,1948.282685,ohc,four,82.185031,spdi,3.697789,3.579378,9.222097,67.630617,4822.464199,20.723915,26.606486,8301.642171,5
71.48968,toyota,diesel,turbo,two,sedan,fwd,rear,95.301147,171.086083,64.601259,54.970644,2540.785975,ohcf,four,119.018545,idi,3.752297,3.693894,8.617642,96.095856,4683.039009,31.480327,32.865086,6682.974085,3
179.024366,peugot,diesel,turbo,four,hatchback,rwd,front,109.831406,198.688588,69.632946,49.636625,3266.336753,ohcv,six,99.42547,spdi,2.947375,3.09826,9.0,71.772602,5104.583603,31.464813,39.272591,17628.497316,3
152.204591,alfa-romero,gas,turbo,two,hatchback,rwd,front,94.695568,174.226477,65.818026,54.73337,2536.495588,dohc,six,109.310455,mfi,2.878416,2.373431,21.960558,96.155782,5201.364127,18.857085,38.72483,6821.494442,3
206.305109,porsche,gas,turbo,two,sedan,fwd,front,95.235849,156.446405,66.388353,54.678054,2580.965972,ohcf,two,75.237053,idi,3.685437,3.705771,8.726815,57.912409,4545.013314,32.152615,27.11565,16591.192421,1
82.854679,jaguar,gas,std,two,sedan,rwd,front,100.765456,182.990858,64.214086,56.0267,1935.845423,l,two,118.22314,spdi,3.048827,3.127091,9.0,87.664054,4819.775044,24.128053,32.251929,6510.160008,3
181.649742,toyota,gas,turbo,two,hardtop,rwd,rear,95.479711,177.979958,63.351617,57.929063,2913.575993,dohcv,three,132.152973,idi,2.926928,2.763224,18.209979,66.369878,5392.626696,27.862144,30.833322,15350.58565,6
118.896172,mazda,gas,std,four,hardtop,rwd,front,94.528176,167.254875,71.876016,58.342119,3332.084098,rotor,two,117.107549,mpfi,3.159865,3.439445,9.459718,92.910683,6108.26742,16.228929,21.190468,31490.678444,6
68.469221,bmw,gas,std,two,hatchback,4wd,front,95.59368,173.089564,72.382647,55.745883,2179.464671,ohcf,two,109.580504,idi,3.645312,3.410064,7.866757,63.593903,4135.696214,24.384618,28.481731,18109.766901,6
120.188661,bmw,gas,turbo,two,hatchback,fwd,front,97.102731,179.714825,65.879177,49.231413,2817.197055,l,three,91.904731,mfi,3.726258,3.977843,25.850979,82.075745,4463.577829,16.684684,33.491101,13754.822047,6
90.394688,plymouth,gas,turbo,two,hatchback,fwd,front,90.876092,166.860244,63.834398,52.531201,2382.484258,rotor,four,99.393737,2bbl,3.138062,2.577824,9.396905,90.87852,3992.897178,14.821585,24.721272,15514.003531,4
95.910135,honda,gas,turbo,four,wagon,fwd,front,94.514628,201.409042,68.3176,50.577222,2957.987009,rotor,four,84.357208,mpfi,3.585104,3.250127,9.0,112.805754,4799.145616,23.22832,26.537947,13920.50983,4
68.664096,bmw,gas,turbo,two,sedan,rwd,front,88.685231,187.256512,64.476144,53.462497,3328.511286,ohcv,four,88.288522,mfi,3.261085,3.131649,8.822426,62.619717,4800.42347,26.272574,27.363246,8337.5717,6
112.557199,dodge,gas,std,four,sedan,4wd,front,97.226089,167.839798,69.938874,57.521168,2472.941434,ohc,four,111.367256,mfi,3.42627,3.444107,9.0,94.896339,5336.654212,19.738819,26.481755,7681.259111,0
86.335977,toyota,gas,std,four,hatchback,fwd,front,112.137973,196.928271,64.351229,51.828868,2271.325892,dohcv,twelve,108.27195,mpfi,3.226722,3.422263,8.561723,100.45442,5105.390449,27.082839,41.068027,7492.23588,0
93.394567,isuzu,gas,std,four,convertible,fwd,front,94.449478,167.709763,67.511086,56.321547,2780.620925,dohcv,six,100.169578,2bbl,3.496968,2.780577,16.110931,156.15527,4770.383151,24.45319,30.028175,8227.185521,0
73.769123,mitsubishi,gas,std,two,hatchback,fwd,front,95.528136,154.312718,66.221061,49.928662,2260.172931,dohc,two,107.094152,mpfi,3.732983,3.619017,9.0,64.633099,4411.988498,18.28731,18.547028,11596.183644,6
