normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,label
93.137914,isuzu,gas,std,two,sedan,rwd,front,100.89955,180.62039,65.610396,49.940198,2420.31482,ohc,four,138.68624,mpfi,3.342052,3.276728,9.0,115.290802,4822.591922,24.997768,29.976135,12876.29067,5
107.344208,mazda,gas,std,two,hatchback,fwd,front,93.579282,168.637794,64.082627,50.713452,2391.62407,ohc,four,153.261054,2bbl,3.574977,3.205228,9.349241,112.764704,5194.820354,15.878674,26.036156,16312.851368,3
105.803043,mazda,gas,std,two,hardtop,4wd,front,102.907056,182.139534,66.043258,49.101161,3343.932977,ohcf,four,168.69478,2bbl,3.34483,3.583426,8.668761,98.637473,4251.408189,22.568907,29.23655,21338.09002,3
71.428674,plymouth,diesel,turbo,four,wagon,rwd,front,93.802122,176.305314,66.983898,56.686291,2833.928339,l,four,115.394255,2bbl,3.21511,2.527709,9.338053,100.815266,4799.840126,28.012325,33.16165,39969.66202,3
75.512218,volkswagen,gas,std,two,sedan,fwd,front,96.800726,170.957109,65.029773,52.944291,1933.547407,ohc,three,113.852651,mpfi,3.2071,3.401334,11.013914,59.259467,5330.396149,20.221843,33.986382,23835.996202,5
178.131942,peugot,gas,std,four,sedan,rwd,front,101.066872,183.952979,64.266439,56.099231,2339.42217,ohcv,six,178.545133,mpfi,3.579014,3.607759,6.586195,96.322808,5137.299942,20.719624,22.09989,9908.463788,3
95.393147,dodge,gas,std,two,hatchback,4wd,front,94.675835,192.224379,64.342034,51.142968,1991.931855,ohcf,four,110.276593,2bbl,3.128575,3.173363,7.633964,208.450182,6204.14629,23.719799,29.43041,7489.140275,6
99.022088,subaru,gas,std,two,hatchback,4wd,front,97.021681,159.079167,70.602516,51.05837,2545.876998,dohc,five,87.36734,idi,2.920531,3.120813,13.712173,140.982005,4813.460639,26.876739,30.729167,7905.469657,4
71.428589,volvo,diesel,std,two,sedan,4wd,front,101.457183,179.043868,67.573909,50.381155,2376.490031,dohcv,two,116.421455,idi,3.670979,3.112379,9.294427,78.874442,4818.9482,23.580969,27.809289,6654.946304,3
92.757703,volkswagen,gas,std,two,hardtop,fwd,front,97.012142,172.513277,65.630107,55.363132,2236.13077,ohc,four,109.87326,spfi,3.697789,3.579378,8.459156,67.630617,4619.612176,28.875834,30.106764,8301.642171,5
