normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,label
93.137914,isuzu,gas,std,four,sedan,rwd,front,100.89955,180.62039,65.610396,49.940198,2195.986109,ohc,four,217.539757,mpfi,3.342052,3.276728,9.0,95.227545,4822.591922,24.997768,29.976135,9172.510029,5
107.344208,mazda,gas,std,two,hatchback,fwd,front,93.579282,168.637794,64.082627,50.713452,2391.62407,ohc,four,153.261054,2bbl,3.574977,3.205228,9.349241,112.764704,5194.820354,15.878674,26.036156,16312.851368,3
131.001644,jaguar,diesel,turbo,two,wagon,4wd,front,97.955603,174.199225,66.043258,49.101161,2441.763023,ohc,four,168.69478,idi,3.34483,3.583426,8.668761,98.637473,4791.736701,22.568907,32.053269,9925.124622,3
108.958107,mitsubishi,diesel,std,four,hardtop,rwd,front,93.802122,176.305314,66.983898,56.686291,2441.378252,l,four,115.394255,idi,3.21511,2.527709,9.338053,70.988243,4799.840126,35.390319,40.433963,12081.322659,3
75.512218,volkswagen,gas,std,two,sedan,fwd,front,96.800726,170.957109,65.029773,52.944291,1933.547407,ohc,three,113.852651,mpfi,3.2071,3.401334,11.013914,59.259467,5330.396149,20.221843,33.986382,23835.996202,5
178.131942,peugot,gas,std,four,sedan,rwd,front,101.066872,183.952979,64.266439,56.099231,2339.42217,ohcv,six,178.545133,mpfi,3.579014,3.607759,6.586195,96.322808,5137.299942,20.719624,22.09989,9908.463788,3
105.816584,dodge,gas,turbo,four,sedan,4wd,front,94.675835,192.224379,64.342034,51.142968,1991.931855,ohcf,four,110.276593,2bbl,3.128575,3.173363,7.633964,208.450182,6204.14629,23.719799,29.43041,5545.753266,6
117.634345,volkswagen,gas,turbo,four,sedan,4wd,front,97.021681,159.079167,70.602516,51.05837,2545.876998,dohc,five,87.36734,2bbl,2.920531,3.120813,13.712173,140.982005,4813.460639,26.876739,30.729167,7905.469657,4
71.428589,volvo,diesel,std,two,sedan,4wd,front,101.457183,179.043868,67.573909,50.381155,2376.490031,dohcv,two,116.421455,2bbl,3.670979,3.112379,9.294427,116.888544,4818.9482,23.580969,27.809289,6654.946304,3
132.037326,toyota,gas,std,four,hardtop,rwd,front,97.012142,172.513277,66.688212,57.666888,1948.282685,ohc,four,82.185031,spfi,3.697789,3.579378,9.222097,67.630617,4822.464199,20.723915,26.606486,8301.642171,5
94.054443,subaru,diesel,turbo,two,sedan,fwd,front,97.273303,171.086083,64.601259,54.970644,2325.2268,ohc,four,119.018545,idi,3.752297,3.693894,8.617642,96.095856,4827.757318,31.480327,39.275784,6682.974085,3
179.024366,peugot,diesel,turbo,four,hatchback,rwd,front,109.831406,198.688588,69.632946,49.636625,3266.336753,ohcv,six,99.42547,mfi,2.947375,3.09826,9.0,71.772602,5104.583603,31.464813,39.272591,17628.497316,3
